id,name,brand_name,price,discount_rate,rating_average,review_count,quantity_sold,sales_status
78022401,Nước Tẩy Trang NIVEA Pearl Bright Sáng Da | Sạch Sâu (400 ml) - 84912,Nivea,131500,30,0.0,0,132,Slow
77305646,Kem chống nắng dạng sữa dịu nhẹ cho da nhạy cảm và trẻ em Anessa Perfect UV Sunscreen Mild Milk For Sensitive Skin SPF 50+ PA++++ 60ml,ANESSA,535000,25,5.0,46,12155,Hot
67421152,Gel sữa chống nắng Senka Perfect UV Gel 80ml,Senka,189000,24,4.0,4,1095,Hot
55705551,Sữa rửa mặt NIVEA Pearl White Đất Sét giúp trắng da ngọc trai (100g) - 81273,Nivea,74000,6,4.8,6,9137,Hot
51540051,Kem chống nắng dạng sữa dưỡng da kiềm dầu bảo vệ hoàn hảo Anessa Perfect UV Sunscreen Skincare Milk SPF 50+ PA++++ 60ml,ANESSA,543000,24,4.8,143,5296,Hot
17460518,Kem Dưỡng Trắng Sáng & Giảm Thâm Nám Ban Ngày Senka White Beauty UV Cream 50g SPF 25 PA ++,Senka,211500,21,4.5,15,638,Hot
13325863,Sữa chống nắng nâng tông Skin Aqua Tone up Lavender cho da tối màu & da vàng Sunplay Skin Aqua Tone Up UV Milk Lavender SPF 50+ PA++++ 50g,Sunplay,156000,23,4.7,792,12427,Hot
9856643,Combo 3 Bông Tẩy Trang Jomi (120 Miếng/Túi),Jomi,99000,20,5.0,43,403,Slow
5902347,Kem dưỡng trắng da Acnes Whitening+ Cream 50g,Acnes,79000,23,4.5,146,1614,Hot
2738497,Bộ 3 Hộp Silcot Bông Trang Điểm (bông tẩy trang) Nhật Bản Cao Cấp (66 Miếng/Hộp),Silcot,97000,34,4.7,492,8983,Hot
2738479,Bộ 2 Hộp Silcot Bông Trang Điểm (bông tẩy trang) Nhật Bản Cao Cấp (66 Miếng/Hộp),Silcot,69000,30,4.8,396,5501,Hot
2738475,Bộ 3 Hộp Silcot Bông Trang Điểm (bông tẩy trang) Nhật Bản (82 Miếng/Hộp),Silcot,100000,24,4.8,1662,20440,Hot
2123245,Sữa Rửa Mặt Mịn Và Săn Chắc Da Senka Perfect Whip Collagen In 120G - [4901872462087],Senka,100000,22,4.6,59,128918,Hot
1313897,Lotion dưỡng ẩm cao cấp - Siêu cấp ẩm cho da căng mượt Hada Labo Gokujyun Premium Hydrating Lotion (170ml),Hada Labo,249000,28,4.7,387,2592,Hot
1081764,Dầu tẩy trang dưỡng ẩm Hada Labo Advanced Nourish Hyaluron Cleasing Oil 200ml,Hada Labo,203500,24,4.7,291,3477,Hot
631525,Sữa rửa mặt cải thiện dấu hiệu lão hóa dạng kem Hada Labo Pro-Aging Retinol B3 Cleanser 80g,Hada Labo,83000,19,4.7,479,55127,Hot
631496,Kem dưỡng ẩm Hada Labo Advanced Nourish Cream 50g,Hada Labo,170000,25,4.7,748,9911,Hot
631049,Dung dịch dưỡng ẩm tối ưu Hada Labo Advanced Nourish Lotion dùng cho da dầu 170ml,Hada Labo,161000,25,4.7,441,3922,Hot
426104,Combo 3 Phim Thấm Dầu Jomi Mayan (70 Tờ) - Xanh,Mayan,152000,23,0.0,0,8157,Hot
277561408,Kem chống nắng nâng tông Skin Aqua Tone up Blue cho da vàng có khuyết điểm đỏ - dạng sữa Sunplay Skin Aqua Tone Up UV Milk Blue SPF 50+ PA++++ 50g,Sunplay,156000,20,5.0,2,19,Slow
277375309,Sữa rửa mặt Hada Labo chống lão hóa Premium Cleanser Aging Care 100g,Hada Labo,106000,20,4.7,3,35,Slow
277375294,Sữa rửa mặt dưỡng trắng cao cấp Hada Labo Premium Cleanser Radiance 100g,Hada Labo,106000,20,5.0,2,31,Slow
276284394,Nước tẩy trang Evoluderm Micellar Cleansing Water 250ml,Evoluderm,89000,54,5.0,1,18,Slow
276284393,Kem dưỡng ẩm phục hồi và nuôi dưỡng làn da Evoluderm 50ml,Evoluderm,135820,61,5.0,3,31,Slow
276130343,Cà Phê Đăk Lăk Làm Sạch Da Chết Môi Cocoon 5g,The Cocoon Original Vietnam,61500,16,5.0,7,2602,Hot
276129814,Sữa rửa mặt dạng gel Bí Đao Rửa Mặt Cocoon (140ml),The Cocoon Original Vietnam,163000,15,5.0,3,15,Slow
276022715,Sữa rửa mặt cho nam Oxy sạch dịu nhẹ - giảm khô căng dạng gel Oxy Hydrating Wash 100g,OXY,75500,22,4.3,10,53,Slow
275970383,Kem chống nắng bí đao Cocoon 50ml,The Cocoon Original Vietnam,309500,22,5.0,7,115,Slow
275969613,Mặt nạ nghệ Hưng Yên  Cocoon 100ml,The Cocoon Original Vietnam,288000,17,5.0,6,29,Slow
275969319,Nước nghệ Hưng Yên Cocoon 310ml,The Cocoon Original Vietnam,255000,15,5.0,3,27,Slow
275967914,Sữa rửa mặt dạng Gel bí đao rửa mặt Cocoon 310ml,The Cocoon Original Vietnam,294000,2,4.5,14,2616,Hot
275798223,Combo 2 Sữa rửa mặt hạt chứa than hoạt tính dành cho nam s select 130g/tuýp,S Select,116000,3,3.7,3,17,Slow
275798192,Combo 2 Sữa rửa mặt ngừa mụn - dưỡng ẩm và làm sáng da hatomugi 130g/tuýp,Reihaku Hatomugi,174000,7,0.0,0,2,Slow
275085351,Dung dịch cải thiện lão hóa Hada Labo Pro-Aging Retinol B3 Lotion 170ml,Hada Labo,225000,25,5.0,2,76,Slow
274988804,Sữa Rửa Mặt NIVEA MEN Bọt Mịn Giúp Sáng Da | Mờ Thâm Mụn (100 g) - 88836,Nivea Men,86000,0,5.0,1,10521,Hot
273969222,Sữa rửa mặt CeraVe dành cho da thường và da dầu CeraVe Foaming Facial Cleanser 473ml,CeraVe,515000,0,5.0,1,13,Slow
273711622,Sữa Rửa Mặt Tạo Bọt Chiết Xuất Tơ Tằm Trắng Senka Perfect Whip 120g - 14839,Senka,103500,13,5.0,8,117138,Hot
273504004,Kem dưỡng dạng gel sữa cho da mụn với tác động kép Vichy Normaderm Phytosolution Double-Correction Daily Care 50ml,VICHY,568000,12,4.7,3,19,Slow
270188626,Kem Nghệ Giảm Mụn Oriss Giúp Mờ Thâm Sẹo Dưỡng Ẩm Sáng Da 20g,Oriss,70000,23,5.0,6,58,Slow
263108710,Dưỡng Chất Chống Nắng LOreal Paris Uv Defender Serum Protector Invisible Fluid 50ml,L'ORÉAL,265000,0,5.0,4,20,Slow
247324359,Bộ travel size dưỡng trắng Hada Labo Perfect White Tranexamic Acid Travel Set (Kem rửa mặt 15g+Dung dịch dưỡng 20ml+Kem dưỡng 12g),Hada Labo,75000,20,5.0,10,88,Slow
207753066,Nước tẩy trang cho da mụn Acnes Micellar Water 200ml,Acnes,82000,23,4.8,22,198,Slow
179717789,Miếng dán mụn giúp giảm mụn sưng viêm Acnes Clear Patch (48 Miếng),Acnes,82000,23,4.8,34,581,Hot
114271441,Bộ đôi Kem chống nắng dạng sữa dịu nhẹ cho da nhạy cảm và trẻ em (Anessa Mild Milk 60ml x2),ANESSA,1089500,24,5.0,5,6872,Hot
114271269,Bộ đôi Kem chống nắng dạng sữa dưỡng da kiềm dầu bảo vệ hoàn hảo (Anessa Gold Milk 60ml x2),ANESSA,1089500,24,4.7,29,9403,Hot
109999879,Gel Rửa Mặt Dịu Nhẹ và Cấp Ẩm Sâu - Emmié by Happy Skin Soothing & Hydrating Derma Cleansing Gel 180ml,Emmié by Happy Skin,171000,39,5.0,1,10,Slow
77986600,Kem dưỡng trắng dạng gel giúp cải thiện thâm sạm Melano CC Whitening Gel 100g,Melano CC,275000,27,4.5,102,570,Hot
72711789,Kem dưỡng ẩm dạng gel Hada Labo Koi-Gokujyun Perfect Gel 100g,Hada Labo,285000,35,4.7,70,390,Slow
54440898,Mặt Nạ Ngủ Cấp Ẩm Chuyên Sâu Dạng Gel Senka Deep Moist Gel Cream 50g,Senka,179000,22,4.7,76,827,Hot
48291658,Kem chống nắng body Skin Aqua mát lạnh dùng hàng ngày Sunplay Skin Aqua UV Body Cooling Lotion SPF 50+ PA++++ 150g,Sunplay,169000,24,4.7,207,1174,Hot
8959289,Tinh chất chống nắng nâng tông Skin Aqua Tone up Lavender cho da tối màu & da vàng Sunplay Skin Aqua Tone Up UV Essence Lavender SPF 50+ PA++++ 50g,Sunplay,161500,20,4.6,1424,22041,Hot
6880649,Kem Dưỡng Ban Đêm OLAY Total Effects 50g,Olay,248500,24,4.7,11,190,Slow
5902771,Kem dưỡng vitamin làm sáng da mờ sẹo thâm Acnes Vitamin Cream 50g,Acnes,76000,26,4.6,149,2095,Hot
1313905,Tinh chất vitamin C dưỡng trắng da - chống thâm nám Melano CC Whitening Essence 20ml,Melano CC,249000,28,4.7,576,3807,Hot
1313889,Kem chống nắng Skin Aqua cho da mụn - dạng sữa dùng hàng ngày Sunplay Skin Aqua Acne Clear Eco Việt Nam SPF 50 - PA++++ 25g,Sunplay,105000,24,4.8,431,8695,Hot
631952,Seum VItamin C 10% dưỡng trắng mờ thâm sạm Acnes Lab C10 serum 15ml,Acnes,287000,21,4.8,137,1708,Hot
631519,Serum chấm mụn chuyên biệt cho da mụn ở tuổi trưởng thành Acnes 25+ Facial Serum 20ml,Acnes,89000,25,4.6,259,4948,Hot
631026,Dung dịch dưỡng ẩm tối ưu Hada Labo Advanced Nourish Lotion dùng cho da thường và da khô 170ml,Hada Labo,161000,25,4.7,326,2848,Hot
630778,Kem chống nắng Skin Aqua dưỡng trắng - kiểm dầu - dùng hàng ngày dạng sữa Sunplay Skin Aqua Clear White Eco Việt Nam SPF50 - PA++++ 55g,Sunplay,179000,24,4.8,503,40240,Hot
278650229,Kem phục hồi da tổn thương và ngăn ngừa sẹo Bioderma Cicabio Crème+ 40ml,BIODERMA,455000,0,0.0,0,1,Slow
278595997,Mặt Nạ Sủi Bọt Thải Độc Sum37 Micro Active Pink Vitamin Bubbetox Mask Pack 100ml,SU:M37,750000,21,5.0,1,2,Slow
278491834,Kem dưỡng mắt Hada Labo cấp ẩm cao cấp Hada Labo Gokujyun Premium Hyaluronic Eye Cream 20g,Hada Labo,225000,21,4.0,1,5,Slow
278457404,Tinh chất dưỡng da Shiseido Ultimune Power Infusing 4.0 Serum 50ml,Shiseido,2926000,10,5.0,1,4,Slow
277540373,Gel chấm mụn 3% Succinic acid + 1% Salicylic Acid hỗ trợ giảm khuẩn và se còi mụn Bioverse S311 Succinic Acneout 10ml ,Bioverse,195000,0,0.0,0,2,Slow
276526569,Dầu tẩy trang hoa hồng Cocoon 310ml tẩy sạch lớp makeup & dưỡng ẩm thuần chay,The Cocoon Original Vietnam,345000,0,0.0,0,1,Slow
276284204,Nước hoa hồng dưỡng ẩm và làm sạch cho da nhạy cảm Evoluderm Lotion Tonique 500ml,Evoluderm,155000,52,4.8,4,30,Slow
276245338,Kem Dưỡng Trắng Da Cấp Ẩm Đa Tầng Angels Liquid 7 Day Whitening Program Glutathione 700 V-Cream 50ml,Angel's Liquid,398000,35,4.8,5,31,Slow
276148324,Kem phục hồi dưỡng trắng da nâng cơ ADVANCE REPAIR REVOVERY DAMODE hủ 30gr,Damode,1848000,0,5.0,1,1,Slow
276075903,Dầu tẩy trang Ý Dĩ Kumano Hatomugi Reihaku Cleansing Oil làm sạch và dưỡng ẩm da (500ml) - Hàng chính hãng,Hatomugi,209000,9,5.0,1,7,Slow
275969093,Nước bí đao cân bằng da Cocoon 310ml,The Cocoon Original Vietnam,255000,15,5.0,2,211,Slow
275915944,Nước tẩy trang simple Sạch sâu 400ml water boost,SIMPLE,145500,27,0.0,0,12,Slow
275821026,Serum cải thiện lão hóa Hada Labo Pro-Aging Retinol B3 Serum 30ml,Hada Labo,297000,23,5.0,8,83,Slow
275798232,Nước dưỡng da chiết xuất vitamin c s select 500ml/chai,S Select,99000,45,0.0,0,2,Slow
275331016,Chì mí kết hợp chì mày siêu tiết kiệm MiraCulous Hàn Quốc,Dabo,135000,0,0.0,0,6,Slow
274989060,Thỏi chống nắng cấp ẩm mát da OHUI Day Shield Aqua Sun Stick To Go SPF50+/PA++++ 14g,OHUI,562500,25,5.0,3,9,Slow
273503928,Kem chống nắng La Roche-Posay kiềm dầu 12H Anthelios UVMUNE 400 Gel-Cream 50ml,La Roche-Posay,345000,0,0.0,0,2,Slow
271439995,Kem chống nắng dạng sữa dưỡng da kiềm dầu bảo vệ hoàn hảo Anessa Perfect UV Sunscreen Skincare Milk SPF 50+ PA++++ 20ml,ANESSA,63000,0,0.0,0,12,Slow
248539431,Sữa chống nắng cho da nhạy cảm Senka Perfect UV Gentle Milk A 40ml,Senka,180500,27,5.0,1,59,Slow
242138036,Combo Thạch hoa hồng dưỡng ẩm cocoon 30ml + Son dưỡng dầu dừa bến tre cocoon 5g,The Cocoon Original Vietnam,230000,0,0.0,0,4,Slow
207356918,Sữa Rửa Mặt Nam Chiết Xuất Than Hoạt Tính Kosé Softymo Mens Facial Wash A (130 G),Kosé,109000,17,5.0,1,11,Slow
206908685,Nước Tẩy Trang làm Sạch Sâu Garnier Micellar Cleansing Water,Garnier,39000,0,5.0,3,14,Slow
177751024,Combo 30 gói tẩy tế bào chết dạng kỳ Whoo Gong Jinhyang Seol Brightening Peeling Gel 1ml,the history of whoo,165000,37,5.0,7,79,Slow
162844476,Kem Ngày GSIII Dr Cell 30g dưỡng trắng bảo vệ da phục hồi da hỗ trợ mờ thâm nám - Hàng Chính Hãng,Dr Cell,480000,20,5.0,6,12,Slow
160372608,Kem dưỡng vùng da quanh mắt Lá House Recovery Eye Cream 15ml,Lá House,1050000,0,5.0,9,52,Slow
156232948,Nước Hoa Hồng Hatomugi Reihaku Hatomugi Medicated Lotion Dưỡng Ẩm Sâu Và Làm Sáng Da 500ml Màu Xanh,Reihaku Hatomugi,143000,0,5.0,2,17,Slow
123582725,Serum Dưỡng Ẩm Phục Hồi Da GoodnDoc Hydra B5 - Serum B5 GoodnDoc 30ml,GoodnDoc,540000,0,5.0,20,73,Slow
72711795,Kem dưỡng trắng dạng gel Hada Labo Koi-Gokujyun Whitening Perfect Gel 100g,Hada Labo,319000,27,4.5,123,485,Slow
72215923,Bộ Sữa rửa mặt dưỡng ẩm OHUI Miracle Moisture Cleansing Foam set,OHUI,562500,25,0.0,0,12,Slow
68696621,Tinh chất dưỡng Lancome Advanced Genifique 10ml ,lancome,335000,0,5.0,1,4,Slow
68554800,KEM NGỪA MỤN THÂM - MỜ SẸO - COLLAGEN /20G - MỘC,Love Skin White,270000,0,4.8,19,95,Slow
55615437,Tẩy Da Chết Mặt Tế Bào Gốc Thực Vật Lành Tính Làm Sạch Sâu Dịu Nhẹ Dưỡng Ẩm Sáng Da Cho Da Dầu Mụn Nhạy Cảm Cellkey-Scien White Peeling Gel (80ml),CELLKEY-SCIEN,297500,15,4.7,410,1720,Hot
50926033,Nước Hoa Hồng Ý Dĩ HATOMUGI 500ml,Hatomugi,118000,0,5.0,14,83,Slow
41589611,Miếng dán Silicone ngăn ngừa và hỗ trợ điều trị sẹo lồi - Advasil Conform,Advancis,1000000,0,4.8,31,201,Slow
11616161,Kem Vi Dưỡng Chống Lão Hóa Ban Đêm OLAY Regenerist (50G),Olay,368500,26,4.5,170,1274,Hot
1313885,Kem chống nắng Skin Aqua dưỡng trắng - kiểm dầu - dùng hàng ngày dạng sữa Sunplay Skin Aqua Clear White Eco Việt Nam SPF50 - PA++++ 25g,Sunplay,102000,24,4.8,498,38467,Hot
877310,Combo 5 Miếng Dán hỗ trợ điều trị Mụn Mayancare 12 Miếng (1.0cm),Mayan,134000,23,4.1,15,644,Hot
865648,Kem Chống Nắng Dạng Sữa Senka Perfect UV Milk SPF 50+ - PA++++ 41095 (40ml),Senka,175000,24,4.3,67,3006,Hot
631508,Sữa rửa mặt ngăn ngừa mụn dạng gel Acnes 25+ Facial Wash 100g,Acnes,67000,24,4.8,175,1292,Hot
483186,Silcot Bông Đắp Dưỡng Miếng Đôi (40 miếng/hộp),Silcot,48000,0,4.8,160,7089,Hot
278979247,Kem Dưỡng LOreal Sáng Mịn Mờ Thâm Nám 50ml,L'Oréal Paris,399000,0,0.0,0,3,Slow
278323193,Mặt nạ mắt vàng 24k & Peptide Farmstay 24k Gold & Peptide Solution Ampoule Eye Patch,Farmstay,490000,0,0.0,0,2,Slow
276661012,Dung dịch dưỡng trắng - cải thiện thâm nám - đốm nâu Melano CC Whitening Lotion (Rich Type),Melano CC,224000,24,5.0,2,17,Slow
276380407,Combo 10 Mặt Nạ Phục Hồi Cấp Tốc DR WonJin Instant Cica Sensitive Solution Mask 30ml x10,Wonjin Effect,298500,25,5.0,1,21,Slow
276380327,Combo 10 Mặt Nạ Cấp Ẩm Cấp Tốc Dr.WonJin Instant Repair Hyal Moisture Solution Mask 30g,Wonjin Effect,299000,25,5.0,2,18,Slow
276284392,Gel rửa mặt kiêm tẩy tế bào chết tinh chất bưởi hồng danh cho da dầu mụn 150ml,Evoluderm,112000,50,5.0,4,32,Slow
276080120,Combo 6 Hộp Silcot Bông Trang Điểm (bông tẩy trang) Nhật Bản Cao Cấp (66 Miếng/Hộp) ,Silcot,212500,28,5.0,1,46,Slow
276075555,Combo 6 Hộp Silcot Bông Trang Điểm (bông tẩy trang) Nhật Bản (82 Miếng/Hộp) ,Silcot,176500,32,0.0,0,36,Slow
276032347,Serum dưỡng ẩm chuyên sâu - làm dịu da Acnes Lab B5 Recovery Serum 25ml,Acnes,342000,21,4.8,6,72,Slow
