name,price,discount_rate,rating_average,review_count,quantity_sold,sales_status
Combo 2 Sữa rửa mặt hạt chứa than hoạt tính dành cho nam s select 130g/tuýp,86000,28,3.7,3,16,Slow
Sữa rửa mặt làm sáng da Hatomugi 170g/tuýp,59000,0,5.0,1,11,Slow
[Mới] Kem Chống Nắng Kiềm Dầu SẮC NGỌC KHANG 50g - bảo vệ toàn diện - kiểm soát bóng dầu hiệu quả,255000,48,5.0,1,7,Slow
Dung dịch cải thiện lão hóa Hada Labo Pro-Aging Retinol B3 Lotion 170ml,225000,25,5.0,2,70,Slow
Sữa Rửa Mặt Tạo Bọt Chiết Xuất Tơ Tằm Trắng Senka Perfect Whip 120g - 14839,103500,13,5.0,8,117138,Hot
Kem chống nắng dạng sữa dưỡng da kiềm dầu bảo vệ hoàn hảo Anessa Perfect UV Sunscreen Skincare Milk SPF 50+ PA++++ 20ml,63000,0,0.0,0,12,Slow
Kem Nghệ Giảm Mụn Oriss Giúp Mờ Thâm Sẹo Dưỡng Ẩm Sáng Da 20g,69000,24,5.0,6,58,Slow
Dưỡng Chất Chống Nắng L'Oreal Paris Uv Defender Serum Protector Invisible Fluid 50ml,265000,0,5.0,4,20,Slow
Nước dưỡng sáng & cấp ẩm cho da Eucerin Boosting Essence 100ml,661500,12,5.0,2,35,Slow
Combo 5 Bông Tẩy Trang Jomi (80 Miếng/Túi),115000,23,5.0,9,72,Slow
Bộ đôi Kem chống nắng dạng sữa dưỡng da kiềm dầu bảo vệ hoàn hảo (Anessa Gold Milk 60ml x2),1089500,24,4.7,28,9351,Hot
Sữa chống nắng dưỡng da Shiseido GSC Perfect Sun Protector Lotion SPF50+ 50ml,1193400,10,0.0,0,9,Slow
Sữa rửa mặt NIVEA Pearl White giúp trắng da ngọc trai (100g) - 81295,58500,26,0.0,0,12633,Hot
Kem Dưỡng Trắng Da Tế Bào Gốc Hàn Quốc Cấp Ẩm Xóa Nhăn Phục Hồi Trẻ Hoá Da Và Chống Lão Hoá Cellkey-Scien White Cream (30g),833000,15,4.8,68,227,Slow
Kem chống nắng dạng sữa dưỡng da kiềm dầu bảo vệ hoàn hảo Anessa Perfect UV Sunscreen Skincare Milk SPF 50+ PA++++ 60ml,543000,24,4.8,143,5295,Hot
Miếng dán Silicone ngăn ngừa và hỗ trợ điều trị sẹo lồi - Advasil Conform,950000,0,4.8,31,201,Slow
Kem Dưỡng Trắng Sáng & Giảm Thâm Nám Ban Ngày Senka White Beauty UV Cream 50g SPF 25 PA ++,211500,21,4.5,15,458,Slow
Tinh chất chống nắng nâng tông Skin Aqua Tone up Lavender cho da tối màu & da vàng Sunplay Skin Aqua Tone Up UV Essence Lavender SPF 50+ PA++++ 50g,161500,20,4.6,1424,22036,Hot
Kem dưỡng vitamin làm sáng da mờ sẹo thâm Acnes Vitamin Cream 50g,76000,26,4.6,147,2093,Hot
Kem dưỡng trắng da Acnes Whitening+ Cream 50g,83000,19,4.5,145,1608,Hot
Tinh chất vitamin C dưỡng trắng da - chống thâm nám Melano CC Whitening Essence 20ml,276000,20,4.7,576,3804,Hot
Combo 5 Miếng Dán hỗ trợ điều trị Mụn Mayancare 12 Miếng (1.0cm),134000,23,4.1,15,644,Hot
Kem Chống Nắng Dạng Sữa Senka Perfect UV Milk SPF 50+ - PA++++ 41095 (40ml),175000,24,4.3,67,2896,Hot
Seum VItamin C 10% dưỡng trắng mờ thâm sạm Acnes Lab C10 serum 15ml,292000,20,4.8,137,1706,Hot
Dung dịch dưỡng ẩm tối ưu Hada Labo Advanced Nourish Lotion dùng cho da thường và da khô 170ml,173000,19,4.7,326,2847,Hot
Kem chống nắng Skin Aqua dưỡng trắng - kiểm dầu - dùng hàng ngày dạng sữa Sunplay Skin Aqua Clear White Eco Việt Nam SPF50 - PA++++ 55g,188000,20,4.8,503,40236,Hot
Bộ Làm Sạch THE WHOO Gongjinhyang Clarifying Cleansing Duo Kit,349000,30,0.0,0,1,Slow
Nước Tẩy Trang Sen Hậu Giang Sạch Bụi Siêu Mịn PM1.0 - Có Prebiotics Dịu Êm Cho Da Rất Nhạy Cảm Cocoon 140ml,139000,9,5.0,5,56,Slow
Kem dưỡng phục hồi Bioderma cicabio crème 40mL ,455000,0,0.0,0,1,Slow
Mặt Nạ Sủi Bọt Thải Độc Sum37 Micro Active Pink Vitamin Bubbetox Mask Pack 100ml,720000,24,5.0,1,2,Slow
Mặt nạ mắt vàng 24k & Peptide Farmstay 24k Gold & Peptide Solution Ampoule Eye Patch,490000,0,0.0,0,2,Slow
Dầu tẩy trang hoa hồng Cocoon 310ml tẩy sạch lớp makeup & dưỡng ẩm thuần chay,327750,5,0.0,0,1,Slow
Combo 10 Mặt Nạ Cấp Ẩm Cấp Tốc Dr.WonJin Instant Repair Hyal Moisture Solution Mask 30g,298500,25,5.0,2,17,Slow
Sữa rửa mặt tẩy trang sáng da Hatomugi 130g/tuýp,45000,50,5.0,7,75,Slow
Nước tẩy trang dưỡng ẩm và làm sáng da hatomugi 500ml/chai,119000,46,0.0,0,23,Slow
Chì mí kết hợp chì mày siêu tiết kiệm MiraCulous Hàn Quốc,135000,0,0.0,0,6,Slow
Sữa rửa mặt dưỡng trắng Hada Labo Perfect White Tranexamic Acid Cleanser 15g,15000,25,0.0,0,233,Slow
Mặt nạ dưỡng ẩm EUNYUL giúp da mềm mịn 22ml,13500,0,0.0,0,20,Slow
CeraVe Hydrating Cleanser - Sữa Rửa Mặt Cho Da Khô - Hỗn Hợp Khô Nhạy Cảm,65000,0,0.0,0,3,Slow
[PHIÊN BẢN MỚI] Gel chống nắng bảo vệ da và ngăn ngừa thâm nám - đốm nâu - nếp nhăn Vichy UV Age daily 40ml,525000,0,0.0,0,2,Slow
Kem chống nắng cho da dầu mụn Acnes Blemish Control Sunscreen 50g,124500,21,4.6,10,4275,Hot
Sữa chống nắng cho da nhạy cảm Senka Perfect UV Gentle Milk A 40ml,180500,27,0.0,0,57,Slow
Nước tẩy trang bí đao Cocoon 500ml dành cho da dầu - da mụn thuần chay,285000,5,5.0,3,24,Slow
Kem chống nắng Thanh Mộc Hương chống trôi nâng tone da kiềm dầu SPF 50+ PA++++ 50ml,320000,0,5.0,1,7,Slow
Serum Compliment 2% BHA Salicylic Acid Hyaluronic Acid B5 5% Vitamin C 20% Làm Sạch Da - Giảm Mụn Trắng Da Căng Bóng 27ml,75000,0,5.0,8,38,Slow
Bộ sản phẩm giảm mụn sau 12H & phục hồi da sau mụn La Roche-Posay,195000,0,0.0,0,10,Slow
Sữa Rửa Mặt Dịu Nhẹ Cho Da Nhạy Cảm Cetaphil Gentle Skin Cleanser 1000ml,899000,0,4.8,4,24,Slow
Combo 30 gói tẩy tế bào chết dạng kỳ Whoo Gong Jinhyang Seol Brightening Peeling Gel 1ml,165000,37,5.0,7,77,Slow
Tinh chất chống nắng NIVEA VITAMIN C&E Dưỡng da sáng khỏe SPF50 PA+++ (30ml) - 98318,99500,4,0.0,0,1,Slow
Kem Ngày GSIII Dr Cell 30g dưỡng trắng bảo vệ da phục hồi da hỗ trợ mờ thâm nám - Hàng Chính Hãng,480000,20,5.0,6,12,Slow
Tinh chất dưỡng trắng da Lá House Astalock Concentrated Essence 15ml/30ml,945000,0,5.0,17,161,Slow
Serum Men Stay Simplicity cho da mụn giúp làm dịu - khô cồi cho nam Calm Skin Relief Facial Serum 30ml,239000,0,4.3,3,17,Slow
Serum Dưỡng Ẩm Phục Hồi Da GoodnDoc Hydra B5 - Serum B5 GoodnDoc 30ml,540000,0,5.0,20,73,Slow
Combo 10 Mặt Nạ BNBG Phục Hồi Thư Giãn Da Vita Genic Relaxing Jelly Mask 30ml x10,136700,53,5.0,5,60,Slow
Combo 10 Mặt Nạ BNBG Dưỡng Trắng Da Vita Genic Whitening Jelly Mask 30ml x10,161100,45,5.0,3,68,Slow
Combo 5 Bông tẩy trang Jomi 120 miếng/gói,138000,33,5.0,26,157,Slow
Nước Tẩy Trang NIVEA Ngừa Mụn Acne Care Micellar Water (400ML) - 80116,120000,37,0.0,0,62,Slow
Sữa Rửa Mặt Tạo Bọt Ngừa Mụn Oriss 100g - Chuyên Dành Cho Da Mụn,116000,22,4.8,101,313,Slow
Nước Tẩy Trang Làm Sạch Sâu Và Kiểm Soát Bã Nhờn Cho Da Dầu Và Da Mụn La Roche Posay Effaclar Micellar Water 100ml,251000,5,4.1,11,37,Slow
Tẩy Da Chết Mặt Tế Bào Gốc Thực Vật Lành Tính Làm Sạch Sâu Dịu Nhẹ Dưỡng Ẩm Sáng Da Cho Da Dầu Mụn Nhạy Cảm Cellkey-Scien White Peeling Gel (80ml),297500,15,4.7,409,1719,Hot
Nước Hoa Hồng Ý Dĩ HATOMUGI 500ml,118000,0,5.0,14,82,Slow
Floslek Pharma Kem Kiểm Soát Dầu Và Điều Tiết Nhờn Mattifying Cream 50ml,470000,0,5.0,7,31,Slow
Dung dịch dưỡng ẩm tối ưu Hada Labo Advanced Nourish Lotion dùng cho da dầu 100ml,89000,39,4.7,324,3044,Hot
Kem Vi Dưỡng Chống Lão Hóa Ban Đêm OLAY Regenerist (50G),368500,26,4.5,169,1273,Hot
Bông tẩy trang bạch tuyết 500g (0.5kg),188000,0,4.8,38,209,Slow
Sữa rửa mặt ngăn ngừa mụn dạng gel Acnes 25+ Facial Wash 100g,71000,19,4.8,175,1291,Hot
Kem dưỡng da ban đêm Olay Total Effects 7 in One Night Cream (50g) - Hàng chính hãng,289000,12,0.0,0,6,Slow
Bông Tẩy Trang Miniso Nhật Bản 100% Cotton - 180 Miếng - Sạch Sâu - An Toàn Cho Da - HÀNG CHÍNH HÃNG MINIIN,19000,0,5.0,2,30,Slow
Sữa rửa mặt dưỡng trắng cao cấp Hada Labo Premium Cleanser Radiance 100g,107000,19,5.0,2,24,Slow
Nước Tẩy Trang Bioderma Sensibio dành cho mọi loại da và da nhạy cảm 500ml,560000,0,5.0,1,13,Slow
Combo 10 Mặt Nạ Truyền HA Cấp Ẩm Chuyên Sâu WonJin Effect Hydro Rise Hyaluronic Mask,240000,40,0.0,0,19,Slow
Combo 10 Mặt Nạ Phục Hồi Cấp Tốc DR WonJin Instant Cica Sensitive Solution Mask 30ml x10,298500,25,5.0,1,19,Slow
Nước tẩy trang Evoluderm Eau Micellaire 500ml,149000,54,5.0,2,13,Slow
Dầu tẩy trang hoa hồng Cocoon 140ml,149950,17,5.0,3,41,Slow
Kem chống nắng Bí đao Cocoon 50ml dạng sữa - sữa chống nắng,409000,5,5.0,4,77,Slow
Mặt nạ nghệ Hưng Yên  Cocoon 100ml,322000,7,5.0,6,28,Slow
Nước sen Hậu Giang (toner) giúp phục hồi cho da rất nhạy cảm Cocoon 310ml,279220,7,4.5,16,5542,Hot
Sữa rửa mặt dạng Gel bí đao rửa mặt Cocoon 310ml,253500,15,4.5,14,2615,Hot
Sữa rửa mặt Simple Refreshing Facial Wash giúp làm sạch da (50ml/150ml) - Hàng chính hãng,79000,11,0.0,0,2,Slow
Kem dưỡng ẩm cho nam dạng gel Oxy Hydrating Gel 50g,173000,20,5.0,3,30,Slow
Túi refill lotion dưỡng ẩm tối ưu Hada Labo Advanced Nourish Lotion dùng cho da dầu 170ml,131000,19,0.0,0,31,Slow
Dưỡng Chất L'oreal Revitalift Hyaluronic Acid Serum Căng Mịn và Sáng Da 30ml,403000,5,5.0,1,27,Slow
Dưỡng chất ngăn lão hóa sớm Intense Enriching Serum 45ml,706500,26,5.0,3,20,Slow
KEM ZALE VÀNG 3GR THÁI LAN - NHẬP KHẨU,40000,0,5.0,3,23,Slow
Dung dịch dưỡng trắng da tối ưu Hada Labo Perfect White Tranexamic Acid Lotion 170ml,223000,20,4.8,17,172,Slow
Nước tẩy trang sạch sâu dưỡng trắng Hada Labo Micellar Water Whitening 240ml,113000,20,4.6,31,479,Slow
[HOT DEAL] Kem Dưỡng Da Trắng Hồng ban đêm Giảm Thâm Sạm Không Cồn dạng gel SENKA AQUA BRIGHT GLOW GEL CREAM 50g - 15538,159500,56,4.6,5,756,Hot
Hộp mặt nạ dưỡng trắng chuyên sâu Hada Labo Premium Whitening Serum Mask 115g (hộp 5 miếng x 23g/ miếng),170000,21,5.0,21,227,Slow
Dung dịch tẩy tế bào chết Paula’s Choice Skin Perfecting 2% BHA Liquid Exfoliant 118 ml-2010,845000,11,4.5,12,32,Slow
Mặt Nạ JM solution Mask 30ml Cấp Ẩm Dưỡng Trắng Phục Hồi Da Chăm Sóc Da Toàn Diện Căng Bóng Từ Hàn Quốc,16800,0,0.0,0,138,Slow
Nước Hoa Hồng chiết xuất tía tô Perrila Natural Skin Lotion Nhật Bản ( chai 500ml),95000,0,5.0,2,12,Slow
Bộ đôi Kem chống nắng dạng sữa dưỡng da kiềm dầu bảo vệ hoàn hảo + Kem chống nắng dạng gel dưỡng ẩm bảo vệ hoàn hảo (Anessa Gold Milk 60ml + Gold Gel 90g),903000,25,5.0,6,2128,Hot
Kem chống nắng dạng sữa dịu nhẹ cho da nhạy cảm và trẻ em Anessa Perfect UV Sunscreen Mild Milk For Sensitive Skin SPF 50+ PA++++ 60ml,535000,25,5.0,46,12152,Hot
Gel chấm mụn - mờ thâm Oxy Anti-Acne Spot Gel 10g,64000,16,4.6,68,400,Slow
Set Dưỡng Chất Khoáng Cô Đặc Giúp Phục Hồi Và Bảo Vệ Da Vichy Minéral 89 50ml + 10ml,768000,0,4.8,4,35,Slow
Nước Tẩy Trang NIVEA Pearl Radiant Sáng Da | Sạch Sâu (200 ml) - 84911,87500,26,4.7,7,9150,Hot
Kem chống nắng body Skin Aqua mát lạnh dùng hàng ngày Sunplay Skin Aqua UV Body Cooling Lotion SPF 50+ PA++++ 150g,179000,19,4.7,207,1171,Hot
Sữa rửa mặt hỗ trợ trị mụn Senka Perfect Whip Acne Care 100g,93000,26,4.7,419,63849,Hot
Kem Dưỡng Ban Đêm OLAY Total Effects 50g,248500,24,4.7,11,188,Slow
Dung dịch dưỡng trắng da chống thâm nám Melano CC Whitening Lotion 170ml,236000,21,4.5,163,1559,Hot
Nước Tẩy Trang Tươi Mát L'Oreal Paris Micellar Water (400ml),195000,0,0.0,0,17,Slow
Combo 10 Mặt Nạ Dermal Tinh Chất Collagen Các Loại - Giao Mẫu Ngẫu Nhiên,95000,34,4.1,36,589,Hot
Combo 5 Miếng Dán hỗ trợ điều trị Mụn Mayancare 20 Miếng (0.8cm),134000,23,4.7,148,3044,Hot
